tableName,id,fieldName,fieldType,keyType
users,1,id,INT,PK
users,2,name,VARCHAR,
users,3,email,VARCHAR,
users,4,password,VARCHAR,
users,5,admin,BOOLEAN,
users,6,created_at,TIMESTAMP,
users,7,updated_at,TIMESTAMP,
categorias,1,id,INT,PK
categorias,2,nombre,VARCHAR,
categorias,3,icono,VARCHAR,
categorias,4,created_at,TIMESTAMP,
categorias,5,updated_at,TIMESTAMP,
productos,1,id,INT,PK
productos,2,nombre,VARCHAR,
productos,3,precio,DOUBLE,
productos,4,imagen,VARCHAR,
productos,5,disponible,BOOLEAN,
productos,6,categoria_id,INT,FK
productos,7,created_at,TIMESTAMP,
productos,8,updated_at,TIMESTAMP,
pedidos,1,id,INT,PK
pedidos,2,user_id,INT,FK
pedidos,3,total,DOUBLE,
pedidos,4,estado,BOOLEAN,
pedidos,5,numer_mesa,INT,
pedidos,6,created_at,TIMESTAMP,
pedidos,7,updated_at,TIMESTAMP,
pedido_productos,1,id,INT,PK
pedido_productos,2,pedido_id,INT,FK
pedido_productos,3,producto_id,INT,FK
pedido_productos,4,cantidad,INT,
pedido_productos,5,created_at,TIMESTAMP,
pedido_productos,6,updated_at,TIMESTAMP,
